Tipo,Nome/Sigla,Endereco,Bairro,Computadores Disponiveis,Latitude,Longitude
Centro de Inclusão Digital,AP 01,"BECO SÃO JOSÉ, 40",VILA DOS ANJOS,Não Informado,-19.9781806,-43.9855698
Centro de Inclusão Digital,AP 04,"BECO SANTANA, 39",VILA DOS ANJOS,Não Informado,-19.9475565,-43.9629856
Centro de Inclusão Digital,AP 06,"BECO SOSSEGO, 75",VILA MONTE SÃO JOSÉ,Não Informado,-19.8529405,-43.9034027
Centro de Inclusão Digital,AP 11,"RUA DA ASSEMBLEIA, 149",VILA MONTE SÃO JOSÉ,Não Informado,-19.9424319,-43.952551
Centro de Inclusão Digital,AP 02,"RUA DOS BACURAUS, 570",VILA BACURAUS,Não Informado,-19.8261639,-43.9447635
Centro de Inclusão Digital,AP 08,"RUA ARAUA, 65",VILA ANDIROBA,Não Informado,-19.8659627,-43.9236364
Centro de Inclusão Digital,AP 01,"RUA ONESIMO SEPULVEDA E SILVA, 169",VILA SÃO DIMAS,Não Informado,-19.8603129,-43.9207654
Centro de Inclusão Digital,AP 02,"RUA MARIA DAS MERCES E SILVA, 225",VILA MARIETA II,Não Informado,-19.9918394,-44.0382275
Centro de Inclusão Digital,AP 01,"RUA ABÍLIO MEIRELES, 62",VILA BANDEIRANTES,Não Informado,-19.9504222,-43.9607094
Centro de Inclusão Digital,AP 02,"BECO FERNANDO, 45",VILA BANDEIRANTES,Não Informado,-20.0414458,-44.2142956
Centro de Inclusão Digital,AP 07,"RUA PACHA, 29",VILA MONTE SÃO JOSÉ,Não Informado,-19.9426573,-43.9523454
Centro de Inclusão Digital,AP 01,"RUA DOS TUCANOS, 16",VILA BACURAUS,Não Informado,-19.8260683,-43.9452796
Centro de Inclusão Digital,AP 01,"RUA NEFELINA, 105",VILA SÃO VICENTE,Não Informado,-19.918178,-43.9225929
Centro de Inclusão Digital,AP 05,"BECO EGITO, 91",VILA DOS ANJOS,Não Informado,-19.8201463,-43.9947545
