Tipo,Nome/Sigla,Endereco,Bairro,Computadores Disponiveis,Latitude,Longitude
Centro de Inclusão Digital,LAR DAS IDOSAS NOSSA SENHORA DA SAÚDE,"RUA POTUMAIO, 428",São Geraldo,3.0,-19.902063,-43.8996038
Centro de Inclusão Digital,FUNDAÇÃO CULTURAL DOS PROFISSIONAIS DA EDUCAÇÃO DE MINAS GERAIS - FCPEMG,"RUA DA BAHIA, 1032",Centro,10.0,-19.9234439,-43.9370287
Centro de Inclusão Digital,ASSOCIAÇÃO AMOR FRATERNO,"RUA ANTONIO CARLOS COUTINHO, 221",Pindorama,3.0,-19.9093387,-44.016505
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS VISTA ALEGRE I,"RUA AGUANIL, 425",Vista Alegre,12.0,-19.9537658,-43.9964615
Centro de Inclusão Digital,CENTRO CULTURAL URUCUIA,"RUA W TRES, 500",Pongelupe,10.0,-20.0079827,-44.0064508
Centro de Inclusão Digital,ASSOCIAÇÃO BRASILEIRA DOS AGENTES PENITENCIÁRIOS - ABRAP,"RUA MANOEL ALEXANDRINO, 314",São Paulo,8.0,-19.8693063,-43.9241845
Centro de Inclusão Digital,ASSOCIAÇÃO AS SEMPRE VIVAS,"RUA CORONEL QUINTILIANO VALADARES, 140",Planalto,3.0,-19.8290231,-43.9579581
Centro de Inclusão Digital,LAR DA VOVÓ - ASILO NOSSA SENHORA DA PIEDADE,"RUA AZIZ ABDI, 55",Paquetá,2.0,-19.8773103,-43.9909997
Centro de Inclusão Digital,ASSOCIAÇÃO CRISTÃ FEMININA DE BH - RECANTO FELIZ SÃO FRANCISCO DE ASSIS,"RUA BONANCA, 128",Betânia,6.0,-19.9566881,-43.9885477
Centro de Inclusão Digital,CASA DA ESPERANÇA - NÚCLEO ASSISTENCIAL CAMINHOS PARA JESUS,"RUA JOSE FERREIRA MAGALHAES, 341",Floramar,5.0,-19.8353411,-43.9332718
Centro de Inclusão Digital,CENTRO DE CONVIVÊNCIA PAULO FAGUNDES DA FONSECA PENIDO,"RUA GILBERTO FREIRE, 800",Bonsucesso,3.0,-19.9901098,-43.9861688
Centro de Inclusão Digital,CIDADE OZANAM OBRA UNIDA DA SSPV | CASA DO ANCIÃO FRANCISCO AZEVEDO,"RUA OZANAM, 732",Ipiranga,6.0,-19.8831864,-43.9321468
Centro de Inclusão Digital,FUNDAÇÃO OBRAS SOCIAIS DA PARÓQUIA DA BOA VIAGEM | CASA SANTA ZITA,"RUA ALAGOAS, 315",Boa Viagem,2.0,-19.9292668,-43.9345321
Centro de Inclusão Digital,LAR CRISTO REI,"RUA ADELINA PATRICIA DE CARVALHO, 16",Diamante,4.0,-19.9900598,-44.0203141
Centro de Inclusão Digital,LAR DOS IDOSOS SANTA RITA DE CÁSSIA - SSVP,"RUA BARAO DE GUAXUPE, 362",João Pinheiro,2.0,-19.9324728,-44.0019758
Centro de Inclusão Digital,LAR DOS IDOSOS SANTO ANTÔNIO DE PÁDUA DE VENDA NOVA - SSVP,"RUA SAO VICENTE, 55",Venda Nova,2.0,-19.848478,-43.9131733
Centro de Inclusão Digital,LAR DE IDOSAS SANTA TEREZA E SANTA TEREZINHA,"RUA DIVINOPOLIS, 225",Santa Tereza,3.0,-19.9155146,-43.9118038
Centro de Inclusão Digital,LAR DOS IDOSOS SÃO JOSÉ,"RUA LAR DOS MENINOS, 200",Olhos d'Água,4.0,-19.9881928,-43.9597887
Centro de Inclusão Digital,LAR FREI ZACARIAS,"RUA SABINOPOLIS, 138",Carlos Prates,2.0,-19.9074527,-43.9593977
Centro de Inclusão Digital,REPÚBLICA NOSSA SENHORA DA ABADIA,"RUA IARA, 380",Vila São Rafael,2.0,-19.9165807,-43.9037771
Centro de Inclusão Digital,LAR DE IDOSAS PADRE LEOPOLDO MERTENS - SSVP,"RUA PADRE LEOPOLDO MERTENS, 1231",São Francisco,4.0,-19.8709374,-43.954146
Centro de Inclusão Digital,Escola Aberta Antônio Mourão Guimarães,"RUA INTERSINDICAL, 270",Flávio de Oliveira,Não Informado,-20.0019478,-44.0015394
Centro de Inclusão Digital,Escola Aberta Antônio Salles Barbosa,"RUA SABINO JOSE FERREIRA, 5",Tirol,Não Informado,-19.9855703,-44.04584
Centro de Inclusão Digital,Escola Aberta da Vila Pinho,"RUA COLETORA, 956",Vila Pinho,Não Informado,-20.0056774,-44.0213106
Centro de Inclusão Digital,Escola Aberta Dinorah Magalhães Fabri,"RUA PAVAO, 295",Esperança,Não Informado,-19.9936854,-43.9905821
Centro de Inclusão Digital,Escola Aberta Eloy Heraldo Lima,"RUA ENGRACIA COSTA E SILVA, 12",Vale do Jatobá,Não Informado,-20.0053464,-44.0413871
Centro de Inclusão Digital,Escola Aberta Helena Antipoff,"RUA ANTONIO EUSTAQUIO PIAZZA, 4020",Tirol,Não Informado,-19.9862304,-44.0375942
Centro de Inclusão Digital,Escola Aberta Ciac Lucas Monteiro Machado,"RUA OTAVIANO DE CARVALHO, 12",Vila Pinho,Não Informado,-20.0013061,-44.0257097
Centro de Inclusão Digital,Escola Aberta Pedro Nava,"RUA SAO PEDRO DA ALDEIA, 445",Serra do Curral,Não Informado,-20.0039375,-43.9746236
Centro de Inclusão Digital,Escola Aberta Padre Flávio Giammetta,"RUA SEBASTIAO MARIA DA SILVA, 175",Átila de Paiva,Não Informado,-19.977841,-44.0274252
Centro de Inclusão Digital,Escola Aberta Sebastião Guilherme de Oliveira,"RUA CALENDULA, 10",Olaria,Não Informado,-19.9896797,-44.0294387
Centro de Inclusão Digital,Escola Aberta União Comunitária,"RUA PROFESSOR LUIZ BICALHO, 505",Brasil Industrial,Não Informado,-19.99849,-44.01446
Centro de Inclusão Digital,Escola Aberta Professor Hilton Rocha,"RUA VICENTE SURETTE, 215",Mangueiras,Não Informado,-20.0125473,-44.0330998
Centro de Inclusão Digital,Escola Aberta Aurélio Buarque de Holanda,"RUA RAFAEL TOBIAS, 40",Lindéia,Não Informado,-19.9753689,-44.0590172
Centro de Inclusão Digital,Escola Aberta Cônego Sequeira,"RUA FLOR CHUVA DE PRATA, 40",Mineirão,Não Informado,-20.0238364,-44.0299225
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS VILA SANTA RITA DE CÁSSIA,"RUA SAO TOMAZ DE AQUINO, 640",Santa Rita de Cássia,8.0,-19.9485821,-43.9395881
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS VILA MARÇOLA,"RUA ENGENHEIRO LUCAS JULIO PROENCA, 73",Serra,11.0,-19.9386455,-43.9119411
Centro de Inclusão Digital,CENTRO CULTURAL VILA FÁTIMA,"RUA SAO MIGUEL ARCANJO, 215",Nossa Senhora de Fátima,10.0,-19.9324599,-43.9027307
Centro de Inclusão Digital,CENTRO DE CONVIVÊNCIA CÉZAR CAMPOS,"RUA ORENOCO, 68",Carmo,11.0,-19.9405333,-43.9298326
Centro de Inclusão Digital,Escola Aberta Mestre Paranhos,"RUA ALCIDA TORRES, 20",Conjunto Santa Maria,Não Informado,-19.9519773,-43.9614564
Centro de Inclusão Digital,Escola Aberta Padre Guilherme Peters,"RUA CORONEL JORGE DAVIS, 300",Nossa Senhora do Rosário,Não Informado,-19.9340876,-43.9156986
Centro de Inclusão Digital,Escola Aberta Professor Edson Pisani,"RUA NOSSA SENHORA DE FATIMA, 1015",Nossa Senhora de Fátima,Não Informado,-19.9277789,-43.9025205
Centro de Inclusão Digital,Escola Aberta Senador Levindo Coelho,"RUA CARACA, 850",Mangabeiras,Não Informado,-19.9422675,-43.9211123
Centro de Inclusão Digital,Escola Aberta Ulysses Guimarães,"RUA BOLIVIA, 532",Santa Rita de Cássia,Não Informado,-19.955168,-43.9411329
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS ALTO VERA CRUZ,"RUA PADRE JULIO MARIA, 1550",Alto Vera Cruz,15.0,-19.9146305,-43.8887917
Centro de Inclusão Digital,CENTRO CULTURAL SÃO GERALDO,"RUA SILVA ALVARENGA, 548",São Geraldo,6.0,-19.8941504,-43.8976326
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS TAQUARIL,"RUA PEDRO DE SINTRA, 77",Taquaril,10.0,-19.9180895,-43.8843208
Centro de Inclusão Digital,NÚCLEO DE ARTE E CULTURA DESEMBARGADOR MÁRCIO SOLERO - NAC,"RUA MIRANTE, 477",Mariano de Abreu,11.0,-19.8909765,-43.8903113
Centro de Inclusão Digital,CENTRO CULTURAL VILA MARÇOLA,"RUA MANGABEIRA DA SERRA, 320",Marçola,6.0,-19.9434995,-43.9121144
Centro de Inclusão Digital,Escola Aberta Levindo Lopes,"RUA FLUORINA, 1460",Paraíso,Não Informado,-19.9217832,-43.9044412
Centro de Inclusão Digital,Escola Aberta Maria das Neves,"RUA PIRANGA, 39",São Lucas,Não Informado,-19.9281495,-43.9200171
Centro de Inclusão Digital,Escola Aberta Professora Alcida Torres,"RUA ALVARO FERNANDES, 144",Taquaril,Não Informado,-19.9156678,-43.8844583
Centro de Inclusão Digital,Escola Aberta Israel Pinheiro,"RUA DESEMBARGADOR BRAULIO, 1147",Alto Vera Cruz,Não Informado,-19.9140694,-43.8893144
Centro de Inclusão Digital,Escola Aberta Padre Francisco de Carvalho,"RUA ITAITUBA, 12",São Geraldo,Não Informado,-19.8935466,-43.9002206
Centro de Inclusão Digital,Escola Aberta Professor Domiciano Vieira,"RUA SAO BENTO, 1591",Sagrada Família,Não Informado,-19.9017952,-43.9153053
Centro de Inclusão Digital,Escola Aberta Wladimir de Paula Gomes,"RUA UARIRA, 350",Casa Branca,Não Informado,-19.8998923,-43.8906479
Centro de Inclusão Digital,Escola Aberta Vila Fazendinha,"RUA PAULO DE SOUZA, 51",Fazendinha,Não Informado,-19.9312778,-43.9068186
Centro de Inclusão Digital,Escola Aberta São Rafael,"RUA CORONEL OTAVIO DINIZ, 31",Pompéia,Não Informado,-19.9149463,-43.9072982
Centro de Inclusão Digital,Escola Aberta Fernando Dias Costa,"RUA PEDRO ALEXANDRINO MENDONCA, 59",Conjunto Taquaril,Não Informado,-19.9186248,-43.8770209
Centro de Inclusão Digital,Escola Aberta Monsenhor João Rodrigues de Oliveira,"RUA ARAPARI, 95",São Geraldo,Não Informado,-19.8974449,-43.8940657
Centro de Inclusão Digital,Escola Aberta George Ricardo Salum,"RUA DESEMBARGADOR BRAULIO, 2250",Taquaril,Não Informado,-19.9140694,-43.8893144
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS UNIÃO | ARTHUR DE SÁ,"RUA PROFESSOR GERALDO FONTES, 30",União,11.0,-19.8802305,-43.9198156
Centro de Inclusão Digital,Creche Casa do Sol,"RUA JUNIA CRISTINA, 120",Vista do Sol,Não Informado,-19.8518287,-43.8898167
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS ZILÁH SPÓSITO,"RUA COQUILHO, 75",Jaqueline,9.0,-19.8042896,-43.9282442
Centro de Inclusão Digital,CENTRO SOCIAL DE APOIO À CRIANÇA E AO ADOLESCENTE PAULO VI,"RUA PACO DA LIBERDADE, 120",Conjunto Paulo VI,12.0,-19.8320276,-43.8884416
Centro de Inclusão Digital,CENTRO DE QUALIFICAÇÃO EM TECNOLOGIA DA INFORMAÇÃO - CQTI,"RUA JOSE CLEMENTE PEREIRA, 440",Ipiranga,95.0,-19.885488,-43.9312588
Centro de Inclusão Digital,OBRA SOCIAL DA PARÓQUIA NOSSA SENHORA DA ANUNCIAÇÃO - ASCON,"RUA CACIMBA DE AREIA, 201",São Gabriel,11.0,-19.8507446,-43.9095172
Centro de Inclusão Digital,Escola Aberta Pérsio Pereira Pinto,"ROD ANEL RODOVIARIO CELSO MELLO AZEVEDO, 28177",Tiradentes,Não Informado,-19.904521,-43.9851856
Centro de Inclusão Digital,Escola Aberta Prefeito Souza Lima,"RUA DOS PARAGUAIOS, 97",Jardim Vitória,Não Informado,-19.8546483,-43.8836807
Centro de Inclusão Digital,Escola Aberta Agenor Alves de Carvalho,"RUA AGENOR ALVES, 53",Nazaré,Não Informado,-19.8542683,-43.8955993
Centro de Inclusão Digital,Escola Aberta Anísio Teixeira,"RUA BOLIVAR, 10",União,Não Informado,-20.0094513,-44.0148567
Centro de Inclusão Digital,Escola Aberta Francisco Bressane de Azevedo,"RUA PADRE JOSE ALVES, 109",São Paulo,Não Informado,-19.9677679,-44.0278961
Centro de Inclusão Digital,Escola Aberta Sobral Pinto,"RUA DAS ALMAS, 1120",Conjunto Paulo VI,Não Informado,-19.8335174,-43.8820238
Centro de Inclusão Digital,Escola Aberta Hugo Pinheiro Soares,"RUA JUNDIAI, 567",Concórdia,Não Informado,-19.8989217,-43.9404217
Centro de Inclusão Digital,Escola Aberta José de Calasanz,"RUA SEBASTIAO SANTANA FILHO, 111",Ipê,Não Informado,-19.872129,-43.9048035
Centro de Inclusão Digital,Escola Aberta Maria Assunção de Marco,"RUA ANA HORTA, 98",Goiânia,Não Informado,-19.8582716,-43.9033689
Centro de Inclusão Digital,Escola Aberta Professora Maria Modesta Cravo,"RUA DOUTOR JULIO OTAVIANO FERREIRA, 1085",Cidade Nova,Não Informado,-19.8892477,-43.9227546
Centro de Inclusão Digital,Escola Aberta Oswaldo França Júnior,"RUA CIRCULAR, 335",São Gabriel,Não Informado,-19.8544804,-43.9124961
Centro de Inclusão Digital,Escola Aberta Professor Edgar da Matta Machado,"RUA PENALVA, 201",Dom Silvério,Não Informado,-19.8539506,-43.9059199
Centro de Inclusão Digital,Escola Aberta Professor Paulo Freire,"RUA PAULO CAMPOS MENDES, 311",Capitão Eduardo,Não Informado,-19.8291926,-43.8949181
Centro de Inclusão Digital,Escola Aberta Professora Acidália Lott,"RUA ANTONIO MARIANO DE ABREU, 10",Paulo VI,Não Informado,-19.842541,-43.8956741
Centro de Inclusão Digital,Escola Aberta Professora Consuelita Cândida,"RUA DOM SILVERIO GOMES PIMENTA, 301",Belmonte,Não Informado,-19.8455401,-43.90033
Centro de Inclusão Digital,Escola Aberta Henriqueta Lisboa,"RUA GEORGINA PADUA, 297",Penha,Não Informado,-19.8749953,-43.9133007
Centro de Inclusão Digital,Escola Aberta Honorina Rabello,"RUA MARIA CONCEICAO BONFIM, 315",Goiânia,Não Informado,-19.8580822,-43.8970408
Centro de Inclusão Digital,CENTRO DE APOIO COMUNITÁRIO - CAC SERRANO,"RUA TOCANTINS, 445",Conjunto Celso Machado,11.0,-19.8844573,-44.0101202
Centro de Inclusão Digital,ESCOLA PROFISSIONALIZANTE RAIMUNDA SILVA SOARES,"RUA CARMO DO RIO CLARO, 411",Pedreira Prado Lopes,20.0,-19.9028487,-43.9496022
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS VILA SENHOR DOS PASSOS,"RUA EVARISTO DA VEIGA, 239",Senhor dos Passos,11.0,-19.9057953,-43.9487273
Centro de Inclusão Digital,IGREJA EVANGÉLICA TEMPLO DA BENÇÃO,"RUA JOAQUIM ASSIS RIBEIRO, 108",Califórnia,11.0,-19.9211912,-44.011445
Centro de Inclusão Digital,CENTRO CULTURAL PADRE EUSTÁQUIO - NOROESTE,"RUA JACUTINGA, 550",Padre Eustáquio,7.0,-19.9150016,-43.9883907
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS VILA COQUEIRAL,"RUA AMENDITA, 322",Vila Coqueiral,8.0,-19.9138854,-44.0237552
Centro de Inclusão Digital,CENTRO INTEGRADO DE ATENDIMENTO AO MENOR - CIAME PINDORAMA,"RUA GUARARAPES, 1810",Pindorama,15.0,-19.9118085,-44.021598
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA EM SAÚDE MENTAL INFANTIL - CERSAMI,"RUA MANHUMIRIM, 415",Padre Eustáquio,6.0,-19.9142606,-43.969397
Centro de Inclusão Digital,Escola Aberta Augusta Medeiros,"RUA GENERAL CLARK, 28",São Salvador,Não Informado,-19.8913009,-44.0145103
Centro de Inclusão Digital,Escola Aberta João Pinheiro,"RUA PADRE MANOEL BERNARDES, 303",Oeste,Não Informado,-19.9335794,-44.0000243
Centro de Inclusão Digital,Escola Aberta Luigi Toniolo,"RUA MAFRA, 124",Novo Glória,Não Informado,-19.9039828,-44.0227926
Centro de Inclusão Digital,Escola Aberta Prefeito Oswaldo Pieruccetti,"RUA CAITITE, 309",Conjunto Jardim Filadélfia,Não Informado,-19.909798,-44.0071451
Centro de Inclusão Digital,Escola Aberta Professor Cláudio Brandão,"RUA CANTAGALO, 1147",Aparecida,Não Informado,-19.8975886,-43.9515388
Centro de Inclusão Digital,Escola Aberta Professor Mário Werneck,"RUA ABATI, 10",Santa Maria,Não Informado,-19.9348952,-44.0146842
Centro de Inclusão Digital,ASSOCIAÇÃO INSTITUTO ULLY,"RUA CONSELHEIRO JOAQUIM CAETANO, 1447",Nova Granada,10.0,-19.9480038,-43.9677478
Centro de Inclusão Digital,CENTRO DE ASSISTÊNCIA BENEDITO VENÂNCIO,"RUA MARCELINO RAMOS, 281",Boa Vista,2.0,-19.8907906,-43.8980541
Centro de Inclusão Digital,Escola Aberta Padre Edeimar Massote,"RUA ENEIDA, 1485",Coqueiros,Não Informado,-19.8980983,-44.0216579
Centro de Inclusão Digital,Escola Aberta Marlene Pereira Rancante,"RUA DOS COMERCIANTES, 38",Alípio de Melo,Não Informado,-19.8966432,-44.0016876
Centro de Inclusão Digital,Escola Aberta Monsenhor Arthur de Oliveira,"RUA FORNACIARI, 157",Caiçaras,Não Informado,-19.9070144,-43.9647413
Centro de Inclusão Digital,Escola Aberta Professor João Camilo Torres,"RUA ESTER BATISTA VIEIRA, 12",Califórnia,Não Informado,-19.9295161,-44.0087954
Centro de Inclusão Digital,Escola Aberta Nossa Senhora do Amparo,"RUA HESPERIA, 300",Aparecida,Não Informado,-19.8899927,-43.9511024
Centro de Inclusão Digital,Escola Aberta Carlos Góis,"RUA MENDES DE OLIVEIRA, 446",Santo André,Não Informado,-19.9017729,-43.9521808
Centro de Inclusão Digital,Escola Aberta Ignácio de Andrade Melo,"RUA VIOLETA DE MELO, 988",Jardim São José,Não Informado,-19.8988869,-44.0052031
Centro de Inclusão Digital,Escola Aberta Júlia Paraíso,"RUA TIES, 100",Alípio de Melo,Não Informado,-19.8952136,-44.0068154
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS PROVIDÊNCIA,"RUA RIO GRANDE, 375",Minaslândia,15.0,-19.8540192,-43.9326348
Centro de Inclusão Digital,Escola Integrada Minervina Augusta,"RUA ALBATROZ, 228",Vila Clóris,Não Informado,-19.8271996,-43.9469199
Centro de Inclusão Digital,Escola Aberta Florestan Fernandes,"RUA PAU-FERRO, 360",Solimões,Não Informado,-19.822566,-43.924341
Centro de Inclusão Digital,Escola Aberta José Maria dos Mares Guia,"RUA DOS BENEDITINOS, 180",Heliópolis,Não Informado,-19.8438922,-43.9415818
Centro de Inclusão Digital,Escola Aberta Tristão da Cunha,"RUA DOUTOR JOSE FEROLLA, 80",Planalto,Não Informado,-19.8372943,-43.942418
Centro de Inclusão Digital,Escola Aberta Francisco Campos,"RUA HERALDO BELISARIO, 190",Tupi A,Não Informado,-19.8349015,-43.9226563
Centro de Inclusão Digital,Escola Aberta Cônsul Antônio Cadar,"RUA PARNAIBA, 21",Minaslândia,Não Informado,-19.8505357,-43.9269744
Centro de Inclusão Digital,Escola Aberta Francisco Magalhães Gomes,"RUA DOS MAMOEIROS, 98",Vila Clóris,Não Informado,-19.821387,-43.9502631
Centro de Inclusão Digital,Escola Aberta Hélio Pellegrino,"RUA GUILHERME SOARES, 255",Aarão Reis,Não Informado,-19.8450521,-43.9244893
Centro de Inclusão Digital,Escola Aberta Jardim Felicidade,"RUA QUARENTA E SETE A, 250",Jardim Felicidade,Não Informado,-19.8239893,-43.9311762
Centro de Inclusão Digital,Escola Aberta Josefina Souza Lima,"RUA MARIA ORTIZ, 195",Minaslândia,Não Informado,-19.8559716,-43.9304407
Centro de Inclusão Digital,Escola Aberta Maria Silveira,"RUA LIBANIA PENA, 635",São Bernardo,Não Informado,-19.8469958,-43.9433785
Centro de Inclusão Digital,GRUPO DE APOIO À CRIANÇA E ADOLESCENTE DO CABANA,"RUA MONSENHOR PAULO BRASIL, 241",Cabana do Pai Tomás,14.0,-19.9496692,-43.9985059
Centro de Inclusão Digital,SOCIEDADE CRUZ DE MALTA,"RUA CACHOEIRA DE MINAS, 434",Gutierrez,11.0,-19.9475237,-43.9611949
Centro de Inclusão Digital,CENTRO CULTURAL SALGADO FILHO,"RUA NOVA PONTE, 22",Salgado Filho,6.0,-19.9463919,-43.9827584
Centro de Inclusão Digital,Escola Aberta Prefeito Aminthas de Barros,"RUA SAN SALVADOR, 71",Havaí,Não Informado,-19.9120776,-43.9479502
Centro de Inclusão Digital,Escola Aberta Oswaldo Cruz,"RUA SANTOS, 2200",Jardim América,Não Informado,-19.9505422,-43.9707656
Centro de Inclusão Digital,Escola Aberta Hugo Werneck,"RUA OSCAR TROMPOWSKY, 1372",Grajaú,Não Informado,-19.9369049,-43.9614399
Centro de Inclusão Digital,Escola Aberta Francisca de Paula,"RUA JULIO DE CASTILHO, 330",Cinquentenário,Não Informado,-19.9633719,-43.9802417
Centro de Inclusão Digital,Escola Aberta Deputado Milton Salles,"RUA TEOFILO FILHO, 222",Jardim América,Não Informado,-19.9546429,-43.9671612
Centro de Inclusão Digital,Escola Aberta Tenente Manoel Magalhães Penido,"RUA AMUR, 48",Betânia,Não Informado,-19.961431,-43.997199
Centro de Inclusão Digital,Escola Aberta João do Patrocínio,"RUA GUARIBU, 113",Nova Gameleira,Não Informado,-19.9442358,-43.9933514
Centro de Inclusão Digital,Escola Aberta Magalhães Drumond,"RUA CONTENDAS, 63",Alto Barroca,Não Informado,-19.9305076,-43.9712473
Centro de Inclusão Digital,Escola Aberta Salgado Filho,"RUA CLOVIS CYRILO LIMONGE, 151",Salgado Filho,Não Informado,-19.9508487,-43.9791944
Centro de Inclusão Digital,Escola Aberta Professora Efigênia Vidigal,"RUA JOSE GUALBERTO, 295",Palmeiras,Não Informado,-19.9698424,-43.9830941
Centro de Inclusão Digital,Escola Aberta Padre Henrique Brandão,"RUA CRISPIM JAQUES, 987",Vista Alegre,Não Informado,-19.9564881,-43.9992046
Centro de Inclusão Digital,Escola Aberta Mestre Ataíde,"RUA AUGUSTO JOSE DOS SANTOS, 560",Estrela do Oriente,Não Informado,-19.9677961,-43.9888073
Centro de Inclusão Digital,CENTRO CULTURAL PAMPULHA,"RUA EXPEDICIONARIO PAULO DE SOUZA, 185",Urca,8.0,-19.8709219,-44.0145578
Centro de Inclusão Digital,Escola Aberta Professora Alice Nacif,"RUA EXPEDICIONARIO PAULO DE SOUZA, 721",Confisco,Não Informado,-19.8709219,-44.0145578
Centro de Inclusão Digital,Escola Aberta Aurélio Pires,"RUA BARRINHA, 171",Indaiá,Não Informado,-19.8652662,-43.9525683
Centro de Inclusão Digital,Escola Aberta Vicente Guimarães,"RUA IZAURA PEREIRA ALMEIDA, 110",Letícia,Não Informado,-19.8096283,-43.9803864
Centro de Inclusão Digital,Escola Aberta Milton Campos,"RUA JOVINO RODRIGUES PEGO, 145",Mantiqueira,Não Informado,-19.7965085,-43.9847844
Centro de Inclusão Digital,Escola Aberta Gracy Vianna Lage,"RUA JOAO SOARES LEAL, 23",Jardim dos Comerciários,Não Informado,-19.7888178,-43.9706055
Centro de Inclusão Digital,Escola Aberta Geraldo Teixeira da Costa,"RUA MARCIO LIMA PAIXAO, 8",Rio Branco,Não Informado,-19.8158097,-43.9770878
Centro de Inclusão Digital,Escola Aberta Eliza Buzelin,"RUA JAIR AFONSO INACIO, 277",Piratininga,Não Informado,-19.8052069,-43.9838337
Centro de Inclusão Digital,Escola Aberta Carlos Drummond de Andrade,"RUA JOSE GALDING, 21",Letícia,Não Informado,-19.8054111,-43.9791428
Centro de Inclusão Digital,Escola Aberta Armando Ziller,"RUA GERALDO ILIDIO TEIXEIRA, 283",Mantiqueira,Não Informado,-19.7842695,-43.9835018
Centro de Inclusão Digital,Escola Aberta Cônego Raimundo Trindade,"RUA BRODOSQUI, 51",Piratininga,Não Informado,-19.8072261,-43.9881944
Centro de Inclusão Digital,Escola Aberta Deputado Renato Azeredo,"RUA AGUA, 240",Maria Helena,Não Informado,-19.796703,-43.9921958
Centro de Inclusão Digital,Escola Aberta José Maria Alkimin,"RUA BENIGNO FAGUNDES DA SILVA, 33",Serra Verde,Não Informado,-19.798126,-43.9540771
Centro de Inclusão Digital,Escola Aberta Moysés Kalil,"RUA AFONSO PEREIRA DA SILVA, 10",Mantiqueira,Não Informado,-19.7902602,-43.9819019
Centro de Inclusão Digital,Escola Aberta Professor Moacyr Andrade,"RUA DOS CACADORES, 93",Lagoa,Não Informado,-19.8071841,-43.9968762
Centro de Inclusão Digital,Escola Aberta Professor Tabajara Pedroso,"RUA GERALDO ANUNCIACAO, 45",Rio Branco,Não Informado,-19.81189,-43.979006
Centro de Inclusão Digital,Escola Aberta Adauto Lúcio Cardoso,"RUA ERNESTO GAZZOLLI, 164",Céu Azul,Não Informado,-19.8165076,-43.9980509
Centro de Inclusão Digital,Escola Aberta Antônia Ferreira,"RUA JOAO GUALBERTO DE ABREU, 10",São João Batista,Não Informado,-19.8195909,-43.9610238
Centro de Inclusão Digital,Escola Aberta Dora Tomich Laender,"RUA JULITA NUNES LIMA, 53",Conjunto Minascaixa,Não Informado,-19.803883,-43.9563017
Centro de Inclusão Digital,Escola Aberta Professor Amílcar Martins,"RUA PRELUDIO, 54",Santa Amélia,Não Informado,-19.8321172,-43.9733901
Centro de Inclusão Digital,Escola Integrada Aurélio Buarque de Holanda,"RUA DAS AVENCAS, 277",Lindéia,Não Informado,-19.9765837,-44.0559546
Centro de Inclusão Digital,CENTRO CULTURAL VILA SANTA RITA,"RUA ANA RAFAEL DOS SANTOS, 149",Santa Rita,6.0,-20.0081143,-44.0307922
Centro de Inclusão Digital,Educandário Presbiteriano Renovado - EPRE,"RUA FLOR DA CACHOEIRINHA, 95",Jardim Alvorada,Não Informado,-19.8997445,-43.9909608
Centro de Inclusão Digital,CENTRO CULTURAL JARDIM GUANABARA,"RUA JOAO ALVARES CABRAL, 277",Jardim Guanabara,8.0,-19.8290574,-43.9328652
Centro de Inclusão Digital,Escola Aberta Professor Daniel Alvarenga,"RUA COQUILHO, 10",Jaqueline,Não Informado,-19.8042896,-43.9282442
Centro de Inclusão Digital,Escola Aberta Secretário Humberto de Almeida,"TRV SERRA DO ITATIAIA, 3",Ribeiro de Abreu,Não Informado,-19.8222848,-43.9021174
Centro de Inclusão Digital,CENTRO DE CONVIVÊNCIA CARLOS PRATES,"RUA MANHUMIRIM, 415",Padre Eustáquio,6.0,-19.9142606,-43.969397
Centro de Inclusão Digital,Escola Aberta Zilda Arns,"RUA ERVA MATE, 26",Piratininga,Não Informado,-19.8142161,-43.9939007
Centro de Inclusão Digital,Escola Aberta Dulce Maria Homem,"RUA TRES MARIAS, 221",Miramar,Não Informado,-19.994718,-44.0126781
Centro de Inclusão Digital,Escola Aberta Luiz Gatti,"RUA O GARIMPEIRO, 45",Ademar Maldonado,Não Informado,-19.9821941,-44.0266076
Centro de Inclusão Digital,Escola Aberta Professor Mello Cançado,"RUA DAS PETUNIAS, 2058",Lindéia,Não Informado,-19.9830573,-44.0451707
